category	arm	class	purity_bin	depth_regime	count	min_required	meets_minimum	scope_status	scope_reason
RETENTION	CORE_HR	Pathogenic	LOW	LOW	24	5	True	IN_SCOPE	
RETENTION	CORE_HR	Pathogenic	LOW	MID	19	5	True	IN_SCOPE	
RETENTION	CORE_HR	Pathogenic	LOW	HIGH	23	5	True	IN_SCOPE	
RETENTION	CORE_HR	Pathogenic	LOW	AMBIGUOUS_REGIME	0			OUT_OF_SCOPE	RETENTION is one of the 4 evaluable-depth grid categories and is not generated in the AMBIGUOUS_REGIME side-arm regime, which is reserved for AMBIGUOUS/NOT_EVALUABLE by construction
RETENTION	CORE_HR	Pathogenic	LOW	NOT_EVALUABLE_REGIME	0			OUT_OF_SCOPE	RETENTION is one of the 4 evaluable-depth grid categories and is not generated in the NOT_EVALUABLE_REGIME side-arm regime, which is reserved for AMBIGUOUS/NOT_EVALUABLE by construction
RETENTION	CORE_HR	Pathogenic	MID	LOW	20	5	True	IN_SCOPE	
RETENTION	CORE_HR	Pathogenic	MID	MID	23	5	True	IN_SCOPE	
RETENTION	CORE_HR	Pathogenic	MID	HIGH	31	5	True	IN_SCOPE	
RETENTION	CORE_HR	Pathogenic	MID	AMBIGUOUS_REGIME	0			OUT_OF_SCOPE	RETENTION is one of the 4 evaluable-depth grid categories and is not generated in the AMBIGUOUS_REGIME side-arm regime, which is reserved for AMBIGUOUS/NOT_EVALUABLE by construction
RETENTION	CORE_HR	Pathogenic	MID	NOT_EVALUABLE_REGIME	0			OUT_OF_SCOPE	RETENTION is one of the 4 evaluable-depth grid categories and is not generated in the NOT_EVALUABLE_REGIME side-arm regime, which is reserved for AMBIGUOUS/NOT_EVALUABLE by construction
RETENTION	CORE_HR	Pathogenic	HIGH	LOW	20	5	True	IN_SCOPE	
RETENTION	CORE_HR	Pathogenic	HIGH	MID	27	5	True	IN_SCOPE	
RETENTION	CORE_HR	Pathogenic	HIGH	HIGH	27	5	True	IN_SCOPE	
RETENTION	CORE_HR	Pathogenic	HIGH	AMBIGUOUS_REGIME	0			OUT_OF_SCOPE	RETENTION is one of the 4 evaluable-depth grid categories and is not generated in the AMBIGUOUS_REGIME side-arm regime, which is reserved for AMBIGUOUS/NOT_EVALUABLE by construction
RETENTION	CORE_HR	Pathogenic	HIGH	NOT_EVALUABLE_REGIME	0			OUT_OF_SCOPE	RETENTION is one of the 4 evaluable-depth grid categories and is not generated in the NOT_EVALUABLE_REGIME side-arm regime, which is reserved for AMBIGUOUS/NOT_EVALUABLE by construction
CN_NEUTRAL_LOH_WT_LOSS	CORE_HR	Pathogenic	LOW	LOW	59	5	True	IN_SCOPE	
CN_NEUTRAL_LOH_WT_LOSS	CORE_HR	Pathogenic	LOW	MID	63	5	True	IN_SCOPE	
CN_NEUTRAL_LOH_WT_LOSS	CORE_HR	Pathogenic	LOW	HIGH	55	5	True	IN_SCOPE	
CN_NEUTRAL_LOH_WT_LOSS	CORE_HR	Pathogenic	LOW	AMBIGUOUS_REGIME	0			OUT_OF_SCOPE	CN_NEUTRAL_LOH_WT_LOSS is one of the 4 evaluable-depth grid categories and is not generated in the AMBIGUOUS_REGIME side-arm regime, which is reserved for AMBIGUOUS/NOT_EVALUABLE by construction
CN_NEUTRAL_LOH_WT_LOSS	CORE_HR	Pathogenic	LOW	NOT_EVALUABLE_REGIME	0			OUT_OF_SCOPE	CN_NEUTRAL_LOH_WT_LOSS is one of the 4 evaluable-depth grid categories and is not generated in the NOT_EVALUABLE_REGIME side-arm regime, which is reserved for AMBIGUOUS/NOT_EVALUABLE by construction
CN_NEUTRAL_LOH_WT_LOSS	CORE_HR	Pathogenic	MID	LOW	58	5	True	IN_SCOPE	
CN_NEUTRAL_LOH_WT_LOSS	CORE_HR	Pathogenic	MID	MID	57	5	True	IN_SCOPE	
CN_NEUTRAL_LOH_WT_LOSS	CORE_HR	Pathogenic	MID	HIGH	52	5	True	IN_SCOPE	
CN_NEUTRAL_LOH_WT_LOSS	CORE_HR	Pathogenic	MID	AMBIGUOUS_REGIME	0			OUT_OF_SCOPE	CN_NEUTRAL_LOH_WT_LOSS is one of the 4 evaluable-depth grid categories and is not generated in the AMBIGUOUS_REGIME side-arm regime, which is reserved for AMBIGUOUS/NOT_EVALUABLE by construction
CN_NEUTRAL_LOH_WT_LOSS	CORE_HR	Pathogenic	MID	NOT_EVALUABLE_REGIME	0			OUT_OF_SCOPE	CN_NEUTRAL_LOH_WT_LOSS is one of the 4 evaluable-depth grid categories and is not generated in the NOT_EVALUABLE_REGIME side-arm regime, which is reserved for AMBIGUOUS/NOT_EVALUABLE by construction
CN_NEUTRAL_LOH_WT_LOSS	CORE_HR	Pathogenic	HIGH	LOW	52	5	True	IN_SCOPE	
CN_NEUTRAL_LOH_WT_LOSS	CORE_HR	Pathogenic	HIGH	MID	57	5	True	IN_SCOPE	
CN_NEUTRAL_LOH_WT_LOSS	CORE_HR	Pathogenic	HIGH	HIGH	49	5	True	IN_SCOPE	
CN_NEUTRAL_LOH_WT_LOSS	CORE_HR	Pathogenic	HIGH	AMBIGUOUS_REGIME	0			OUT_OF_SCOPE	CN_NEUTRAL_LOH_WT_LOSS is one of the 4 evaluable-depth grid categories and is not generated in the AMBIGUOUS_REGIME side-arm regime, which is reserved for AMBIGUOUS/NOT_EVALUABLE by construction
CN_NEUTRAL_LOH_WT_LOSS	CORE_HR	Pathogenic	HIGH	NOT_EVALUABLE_REGIME	0			OUT_OF_SCOPE	CN_NEUTRAL_LOH_WT_LOSS is one of the 4 evaluable-depth grid categories and is not generated in the NOT_EVALUABLE_REGIME side-arm regime, which is reserved for AMBIGUOUS/NOT_EVALUABLE by construction
WT_LOSS	CORE_HR	Pathogenic	LOW	LOW	105	5	True	IN_SCOPE	
WT_LOSS	CORE_HR	Pathogenic	LOW	MID	99	5	True	IN_SCOPE	
WT_LOSS	CORE_HR	Pathogenic	LOW	HIGH	103	5	True	IN_SCOPE	
WT_LOSS	CORE_HR	Pathogenic	LOW	AMBIGUOUS_REGIME	0			OUT_OF_SCOPE	WT_LOSS is one of the 4 evaluable-depth grid categories and is not generated in the AMBIGUOUS_REGIME side-arm regime, which is reserved for AMBIGUOUS/NOT_EVALUABLE by construction
WT_LOSS	CORE_HR	Pathogenic	LOW	NOT_EVALUABLE_REGIME	0			OUT_OF_SCOPE	WT_LOSS is one of the 4 evaluable-depth grid categories and is not generated in the NOT_EVALUABLE_REGIME side-arm regime, which is reserved for AMBIGUOUS/NOT_EVALUABLE by construction
WT_LOSS	CORE_HR	Pathogenic	MID	LOW	108	5	True	IN_SCOPE	
WT_LOSS	CORE_HR	Pathogenic	MID	MID	110	5	True	IN_SCOPE	
WT_LOSS	CORE_HR	Pathogenic	MID	HIGH	100	5	True	IN_SCOPE	
WT_LOSS	CORE_HR	Pathogenic	MID	AMBIGUOUS_REGIME	0			OUT_OF_SCOPE	WT_LOSS is one of the 4 evaluable-depth grid categories and is not generated in the AMBIGUOUS_REGIME side-arm regime, which is reserved for AMBIGUOUS/NOT_EVALUABLE by construction
WT_LOSS	CORE_HR	Pathogenic	MID	NOT_EVALUABLE_REGIME	0			OUT_OF_SCOPE	WT_LOSS is one of the 4 evaluable-depth grid categories and is not generated in the NOT_EVALUABLE_REGIME side-arm regime, which is reserved for AMBIGUOUS/NOT_EVALUABLE by construction
WT_LOSS	CORE_HR	Pathogenic	HIGH	LOW	114	5	True	IN_SCOPE	
WT_LOSS	CORE_HR	Pathogenic	HIGH	MID	103	5	True	IN_SCOPE	
WT_LOSS	CORE_HR	Pathogenic	HIGH	HIGH	109	5	True	IN_SCOPE	
WT_LOSS	CORE_HR	Pathogenic	HIGH	AMBIGUOUS_REGIME	0			OUT_OF_SCOPE	WT_LOSS is one of the 4 evaluable-depth grid categories and is not generated in the AMBIGUOUS_REGIME side-arm regime, which is reserved for AMBIGUOUS/NOT_EVALUABLE by construction
WT_LOSS	CORE_HR	Pathogenic	HIGH	NOT_EVALUABLE_REGIME	0			OUT_OF_SCOPE	WT_LOSS is one of the 4 evaluable-depth grid categories and is not generated in the NOT_EVALUABLE_REGIME side-arm regime, which is reserved for AMBIGUOUS/NOT_EVALUABLE by construction
VARIANT_LOSS	CORE_HR	Pathogenic	LOW	LOW	12	5	True	IN_SCOPE	
VARIANT_LOSS	CORE_HR	Pathogenic	LOW	MID	19	5	True	IN_SCOPE	
VARIANT_LOSS	CORE_HR	Pathogenic	LOW	HIGH	19	5	True	IN_SCOPE	
VARIANT_LOSS	CORE_HR	Pathogenic	LOW	AMBIGUOUS_REGIME	0			OUT_OF_SCOPE	VARIANT_LOSS is one of the 4 evaluable-depth grid categories and is not generated in the AMBIGUOUS_REGIME side-arm regime, which is reserved for AMBIGUOUS/NOT_EVALUABLE by construction
VARIANT_LOSS	CORE_HR	Pathogenic	LOW	NOT_EVALUABLE_REGIME	0			OUT_OF_SCOPE	VARIANT_LOSS is one of the 4 evaluable-depth grid categories and is not generated in the NOT_EVALUABLE_REGIME side-arm regime, which is reserved for AMBIGUOUS/NOT_EVALUABLE by construction
VARIANT_LOSS	CORE_HR	Pathogenic	MID	LOW	14	5	True	IN_SCOPE	
VARIANT_LOSS	CORE_HR	Pathogenic	MID	MID	10	5	True	IN_SCOPE	
VARIANT_LOSS	CORE_HR	Pathogenic	MID	HIGH	17	5	True	IN_SCOPE	
VARIANT_LOSS	CORE_HR	Pathogenic	MID	AMBIGUOUS_REGIME	0			OUT_OF_SCOPE	VARIANT_LOSS is one of the 4 evaluable-depth grid categories and is not generated in the AMBIGUOUS_REGIME side-arm regime, which is reserved for AMBIGUOUS/NOT_EVALUABLE by construction
VARIANT_LOSS	CORE_HR	Pathogenic	MID	NOT_EVALUABLE_REGIME	0			OUT_OF_SCOPE	VARIANT_LOSS is one of the 4 evaluable-depth grid categories and is not generated in the NOT_EVALUABLE_REGIME side-arm regime, which is reserved for AMBIGUOUS/NOT_EVALUABLE by construction
VARIANT_LOSS	CORE_HR	Pathogenic	HIGH	LOW	14	5	True	IN_SCOPE	
VARIANT_LOSS	CORE_HR	Pathogenic	HIGH	MID	13	5	True	IN_SCOPE	
VARIANT_LOSS	CORE_HR	Pathogenic	HIGH	HIGH	15	5	True	IN_SCOPE	
VARIANT_LOSS	CORE_HR	Pathogenic	HIGH	AMBIGUOUS_REGIME	0			OUT_OF_SCOPE	VARIANT_LOSS is one of the 4 evaluable-depth grid categories and is not generated in the AMBIGUOUS_REGIME side-arm regime, which is reserved for AMBIGUOUS/NOT_EVALUABLE by construction
VARIANT_LOSS	CORE_HR	Pathogenic	HIGH	NOT_EVALUABLE_REGIME	0			OUT_OF_SCOPE	VARIANT_LOSS is one of the 4 evaluable-depth grid categories and is not generated in the NOT_EVALUABLE_REGIME side-arm regime, which is reserved for AMBIGUOUS/NOT_EVALUABLE by construction
AMBIGUOUS	CORE_HR	Pathogenic	LOW	LOW	0			OUT_OF_SCOPE	AMBIGUOUS is defined only in its own depth regime by construction (AMBIGUOUS: near-floor depth (20, 35); NOT_EVALUABLE: sub-floor depth (4, 19)); it has no representation in the evaluable-depth grid bins by design, not by omission
AMBIGUOUS	CORE_HR	Pathogenic	LOW	MID	0			OUT_OF_SCOPE	AMBIGUOUS is defined only in its own depth regime by construction (AMBIGUOUS: near-floor depth (20, 35); NOT_EVALUABLE: sub-floor depth (4, 19)); it has no representation in the evaluable-depth grid bins by design, not by omission
AMBIGUOUS	CORE_HR	Pathogenic	LOW	HIGH	0			OUT_OF_SCOPE	AMBIGUOUS is defined only in its own depth regime by construction (AMBIGUOUS: near-floor depth (20, 35); NOT_EVALUABLE: sub-floor depth (4, 19)); it has no representation in the evaluable-depth grid bins by design, not by omission
AMBIGUOUS	CORE_HR	Pathogenic	LOW	AMBIGUOUS_REGIME	8	8	True	IN_SCOPE	
AMBIGUOUS	CORE_HR	Pathogenic	LOW	NOT_EVALUABLE_REGIME	0			OUT_OF_SCOPE	AMBIGUOUS is defined only in its own depth regime by construction (AMBIGUOUS: near-floor depth (20, 35); NOT_EVALUABLE: sub-floor depth (4, 19)); it has no representation in the evaluable-depth grid bins by design, not by omission
